FROM,TO,CLASS,LENGTH,SHAPE,SCALE
1,2,3,3.063882,3.974,40.264
1,2991,2,3.78063,3.703,26.138
1,3178,3,3.431082,3.974,40.264
2,1,3,3.063882,3.974,40.264
2,3,1,5.154922,2.576,15.08
2,3180,1,3.426844,2.576,15.08
3,2,1,5.154922,2.576,15.08
3,4,2,2.471901,3.703,26.138
3,5,2,3.176084,3.703,26.138
4,3,2,2.471901,3.703,26.138
4,11,1,0.893894,2.576,15.08
4,23,1,5.554677,2.576,15.08
5,3,2,3.176084,3.703,26.138
5,23,2,1.644626,3.703,26.138
6,7,1,0.227555,2.576,15.08
6,19,1,1.797931,2.576,15.08
7,6,1,0.227555,2.576,15.08
7,8,2,0.274015,3.703,26.138
7,9,4,0.25708,6.108,63.498
8,7,1,0.274015,2.576,15.08
8,42,1,1.258438,2.576,15.08
9,7,3,0.25708,3.974,40.264
9,10,2,1.352949,3.703,26.138
10,9,2,1.352949,3.703,26.138
11,4,2,0.893894,3.703,26.138
11,12,2,0.086745,3.703,26.138
11,13,2,0.087324,3.703,26.138
12,11,2,0.086745,3.703,26.138
12,14,2,0.16948,3.703,26.138
13,11,2,0.087324,3.703,26.138
13,15,2,0.137484,3.703,26.138
14,12,2,0.16948,3.703,26.138
14,15,3,0.072995,3.974,40.264
14,19,2,3.502305,3.703,26.138
15,13,2,0.137484,3.703,26.138
15,14,2,0.072995,3.703,26.138
15,16,2,0.391595,3.703,26.138
16,15,3,0.391595,3.974,40.264
16,17,3,0.279859,3.974,40.264
17,16,1,0.279859,2.576,15.08
17,18,2,0.279575,3.703,26.138
17,20,4,0.365216,6.108,63.498
18,17,4,0.279575,6.108,63.498
18,22,2,1.499548,3.703,26.138
19,6,1,1.797931,2.576,15.08
19,14,2,3.502305,3.703,26.138
19,40,1,0.546644,2.576,15.08
20,17,3,0.365216,3.974,40.264
20,21,3,2.782209,3.974,40.264
21,20,4,2.782209,6.108,63.498
21,41,2,0.202524,3.703,26.138
22,18,4,1.499548,6.108,63.498
22,29,2,0.236225,3.703,26.138
23,4,2,5.554677,3.703,26.138
23,5,2,1.644626,3.703,26.138
23,24,1,1.22498,2.576,15.08
23,3505,2,1.93452,3.703,26.138
24,23,2,1.22498,3.703,26.138
24,26,2,1.102529,3.703,26.138
24,28,4,0.457519,6.108,63.498
24,3505,4,1.334813,6.108,63.498
25,26,2,0.344921,3.703,26.138
25,27,2,0.196755,3.703,26.138
25,28,2,0.792073,3.703,26.138
26,24,2,1.102529,3.703,26.138
26,25,2,0.344921,3.703,26.138
26,27,2,0.411736,3.703,26.138
26,36,2,2.777833,3.703,26.138
27,25,2,0.196755,3.703,26.138
27,26,2,0.411736,3.703,26.138
27,3523,1,1.516704,2.576,15.08
28,24,4,0.457519,6.108,63.498
28,25,2,0.792073,3.703,26.138
28,3507,4,0.25254,6.108,63.498
28,3508,3,0.192092,3.974,40.264
29,22,4,0.236225,6.108,63.498
29,30,4,0.217505,6.108,63.498
29,31,4,0.227186,6.108,63.498
30,29,4,0.217505,6.108,63.498
30,32,4,0.304346,6.108,63.498
31,29,4,0.227186,6.108,63.498
31,38,4,2.314527,6.108,63.498
32,30,4,0.304346,6.108,63.498
32,33,4,0.288756,6.108,63.498
33,32,4,0.288756,6.108,63.498
33,35,1,0.180105,2.576,15.08
33,36,4,0.257131,6.108,63.498
33,37,4,0.189906,6.108,63.498
34,35,1,0.064989,2.576,15.08
35,33,1,0.180105,2.576,15.08
35,34,1,0.064989,2.576,15.08
36,26,3,2.777833,3.974,40.264
36,33,4,0.257131,6.108,63.498
37,33,4,0.189906,6.108,63.498
37,39,2,1.689226,3.703,26.138
38,31,4,2.314527,6.108,63.498
38,52,3,0.539149,3.974,40.264
39,37,1,1.689226,2.576,15.08
39,53,3,0.694727,3.974,40.264
40,19,2,0.546644,3.703,26.138
40,41,1,0.158858,2.576,15.08
41,21,4,0.202524,6.108,63.498
41,40,1,0.158858,2.576,15.08
41,42,2,0.262294,3.703,26.138
41,43,2,0.155721,3.703,26.138
42,8,4,1.258438,6.108,63.498
42,41,4,0.262294,6.108,63.498
43,41,4,0.155721,6.108,63.498
43,44,2,1.193137,3.703,26.138
44,43,2,1.193137,3.703,26.138
44,45,2,2.209495,3.703,26.138
44,46,2,1.082632,3.703,26.138
45,44,2,2.209495,3.703,26.138
45,52,3,2.660538,3.974,40.264
46,44,2,1.082632,3.703,26.138
46,47,2,0.660281,3.703,26.138
47,46,2,0.660281,3.703,26.138
47,48,2,0.787702,3.703,26.138
47,49,1,0.543519,2.576,15.08
48,47,2,0.787702,3.703,26.138
48,50,2,1.017482,3.703,26.138
49,47,2,0.543519,3.703,26.138
49,51,3,4.491611,3.974,40.264
50,48,2,1.017482,3.703,26.138
50,54,3,2.518862,3.974,40.264
51,49,3,4.491611,3.974,40.264
51,54,3,0.935375,3.974,40.264
51,3541,3,11.450732,3.974,40.264
52,38,3,0.539149,3.974,40.264
52,45,3,2.660538,3.974,40.264
52,53,2,0.109484,3.703,26.138
53,39,3,0.694727,3.974,40.264
53,52,3,0.109484,3.974,40.264
53,54,2,1.537674,3.703,26.138
54,50,3,2.518862,3.974,40.264
54,51,3,0.935375,3.974,40.264
54,53,3,1.537674,3.974,40.264
55,56,4,0.64052,6.108,63.498
55,4005,4,1.191771,6.108,63.498
56,55,4,0.64052,6.108,63.498
56,57,4,0.542475,6.108,63.498
56,68,4,0.444789,6.108,63.498
57,56,4,0.542475,6.108,63.498
57,4191,2,4.15363,3.703,26.138
58,59,3,1.997321,3.974,40.264
59,58,3,1.997321,3.974,40.264
59,60,4,1.147634,6.108,63.498
60,59,4,1.147634,6.108,63.498
60,61,4,0.312671,6.108,63.498
61,60,4,0.312671,6.108,63.498
61,62,4,0.247551,6.108,63.498
61,63,1,0.255472,2.576,15.08
62,61,1,0.247551,2.576,15.08
62,64,2,2.140976,3.703,26.138
63,61,4,0.255472,6.108,63.498
63,65,4,2.631569,6.108,63.498
64,62,2,2.140976,3.703,26.138
64,71,1,1.431844,2.576,15.08
65,63,1,2.631569,2.576,15.08
65,66,3,0.283813,3.974,40.264
66,65,4,0.283813,6.108,63.498
66,67,4,0.25739,6.108,63.498
66,69,4,0.207177,6.108,63.498
67,66,4,0.25739,6.108,63.498
67,68,4,1.164522,6.108,63.498
68,56,4,0.444789,6.108,63.498
68,67,4,1.164522,6.108,63.498
69,66,4,0.207177,6.108,63.498
69,70,1,2.268652,2.576,15.08
70,69,1,2.268652,2.576,15.08
70,4193,2,10.194885,3.703,26.138
71,64,2,1.431844,3.703,26.138
71,72,2,0.218894,3.703,26.138
72,71,2,0.218894,3.703,26.138
72,73,3,10.021784,3.974,40.264
73,72,3,10.021784,3.974,40.264
73,74,3,3.714133,3.974,40.264
73,4197,3,18.666096,3.974,40.264
74,73,3,3.714133,3.974,40.264
74,75,3,2.098046,3.974,40.264
74,76,2,20.645739,3.703,26.138
75,74,3,2.098046,3.974,40.264
76,74,2,20.645739,3.703,26.138
76,4430,3,12.413982,3.974,40.264
76,4447,3,20.47212,3.974,40.264
77,78,4,0.27312,6.108,63.498
77,79,4,0.273765,6.108,63.498
78,77,4,0.27312,6.108,63.498
78,80,4,1.383926,6.108,63.498
79,77,4,0.273765,6.108,63.498
79,81,4,2.055154,6.108,63.498
80,78,4,1.383926,6.108,63.498
80,82,4,1.068639,6.108,63.498
81,79,4,2.055154,6.108,63.498
81,83,4,0.338162,6.108,63.498
82,80,4,1.068639,6.108,63.498
