from,to,capacity,length,fft,alpha,beta
1,290,1,1.083333333,0.018055556,0,0
1,307,1,1.083333333,0.018055556,0,0
1,316,1,1.083333333,0.018055556,0,0
2,302,1,1.666666667,0.027777778,0,0
2,304,1,1.666666667,0.027777778,0,0
3,301,1,1.083333333,0.018055556,0,0
3,306,1,1.083333333,0.018055556,0,0
4,301,1,1.083333333,0.018055556,0,0
4,306,1,1.083333333,0.018055556,0,0
5,298,1,0.5,0.008333333,0,0
5,299,1,0.5,0.008333333,0,0
5,310,1,1.083333333,0.018055556,0,0
6,424,1,0.833333333,0.013888889,0,0
6,425,1,0.833333333,0.013888889,0,0
6,456,1,0.833333333,0.013888889,0,0
7,274,1,0.666666667,0.011111111,0,0
7,281,1,0.666666667,0.011111111,0,0
7,283,1,0.666666667,0.011111111,0,0
8,272,1,0.666666667,0.011111111,0,0
8,456,1,0.666666667,0.011111111,0,0
8,474,1,0.666666667,0.011111111,0,0
8,480,1,0.666666667,0.011111111,0,0
9,277,1,0.5,0.008333333,0,0
10,205,1,0.416666667,0.006944444,0,0
10,206,1,0.416666667,0.006944444,0,0
10,214,1,0.416666667,0.006944444,0,0
11,206,1,0.666666667,0.011111111,0,0
11,207,1,0.666666667,0.011111111,0,0
12,210,1,0.833333333,0.013888889,0,0
12,217,1,0.833333333,0.013888889,0,0
12,222,1,0.833333333,0.013888889,0,0
13,208,1,0.666666667,0.011111111,0,0
13,211,1,0.666666667,0.011111111,0,0
13,224,1,0.666666667,0.011111111,0,0
14,244,1,0.583333333,0.009722222,0,0
15,228,1,0.833333333,0.013888889,0,0
15,533,1,0.833333333,0.013888889,0,0
15,538,1,0.833333333,0.013888889,0,0
16,601,1,1,0.016666667,0,0
16,602,1,1,0.016666667,0,0
17,597,1,0.666666667,0.011111111,0,0
17,608,1,0.666666667,0.011111111,0,0
17,621,1,0.666666667,0.011111111,0,0
18,914,1,0.916666667,0.015277778,0,0
18,937,1,0.916666667,0.015277778,0,0
18,938,1,0.916666667,0.015277778,0,0
18,946,1,0.916666667,0.015277778,0,0
19,617,1,0.833333333,0.013888889,0,0
19,919,1,0.833333333,0.013888889,0,0
19,931,1,0.833333333,0.013888889,0,0
20,916,1,0.75,0.0125,0,0
21,915,1,0.5,0.008333333,0,0
21,943,1,0.5,0.008333333,0,0
22,831,1,1.166666667,0.019444444,0,0
23,823,1,1.083333333,0.018055556,0,0
23,835,1,1.083333333,0.018055556,0,0
23,836,1,1.083333333,0.018055556,0,0
23,839,1,1.083333333,0.018055556,0,0
24,827,1,1.166666667,0.019444444,0,0
24,838,1,1.166666667,0.019444444,0,0
24,855,1,1.166666667,0.019444444,0,0
25,821,1,1.25,0.020833333,0,0
25,841,1,1.25,0.020833333,0,0
25,849,1,1.25,0.020833333,0,0
26,322,1,0.666666667,0.011111111,0,0
26,844,1,0.666666667,0.011111111,0,0
26,851,1,0.666666667,0.011111111,0,0
27,317,1,0.666666667,0.011111111,0,0
27,333,1,0.666666667,0.011111111,0,0
27,824,1,0.666666667,0.011111111,0,0
27,832,1,0.666666667,0.011111111,0,0
28,328,1,0.666666667,0.011111111,0,0
28,339,1,0.666666667,0.011111111,0,0
28,825,1,0.666666667,0.011111111,0,0
29,325,1,0.75,0.0125,0,0
29,331,1,0.75,0.0125,0,0
30,286,1,0.666666667,0.011111111,0,0
30,340,1,0.666666667,0.011111111,0,0
31,366,1,0.616666667,0.010277778,0,0
31,405,1,0.616666667,0.010277778,0,0
31,448,1,0.616666667,0.010277778,0,0
31,779,1,0.616666667,0.010277778,0,0
32,287,1,0.666666667,0.011111111,0,0
32,347,1,0.666666667,0.011111111,0,0
32,355,1,0.666666667,0.011111111,0,0
32,356,1,0.666666667,0.011111111,0,0
33,255,1,1.083333333,0.018055556,0,0
33,858,1,1.083333333,0.018055556,0,0
33,961,1,1.083333333,0.018055556,0,0
33,963,1,1.083333333,0.018055556,0,0
34,870,1,0.916666667,0.015277778,0,0
34,962,1,0.916666667,0.015277778,0,0
34,964,1,0.916666667,0.015277778,0,0
34,967,1,0.916666667,0.015277778,0,0
35,758,1,0.75,0.0125,0,0
35,760,1,0.75,0.0125,0,0
35,869,1,0.75,0.0125,0,0
35,966,1,0.75,0.0125,0,0
36,763,1,0.616666667,0.010277778,0,0
36,764,1,0.616666667,0.010277778,0,0
36,767,1,0.616666667,0.010277778,0,0
36,788,1,0.616666667,0.010277778,0,0
36,796,1,0.616666667,0.010277778,0,0
37,349,1,0.7,0.011666667,0,0
37,393,1,0.7,0.011666667,0,0
37,458,1,0.7,0.011666667,0,0
37,459,1,0.7,0.011666667,0,0
37,803,1,0.7,0.011666667,0,0
38,255,1,0.783333333,0.013055556,0,0
38,262,1,0.783333333,0.013055556,0,0
38,267,1,0.783333333,0.013055556,0,0
39,254,1,0.833333333,0.013888889,0,0
39,873,1,0.833333333,0.013888889,0,0
39,880,1,0.833333333,0.013888889,0,0
39,881,1,0.833333333,0.013888889,0,0
40,633,1,1.083333333,0.018055556,0,0
40,883,1,1.083333333,0.018055556,0,0
41,761,1,0.916666667,0.015277778,0,0
41,866,1,0.916666667,0.015277778,0,0
41,875,1,0.916666667,0.015277778,0,0
41,885,1,0.916666667,0.015277778,0,0
42,666,1,0.666666667,0.011111111,0,0
42,676,1,0.666666667,0.011111111,0,0
42,679,1,0.666666667,0.011111111,0,0
42,687,1,0.666666667,0.011111111,0,0
43,668,1,0.583333333,0.009722222,0,0
43,688,1,0.583333333,0.009722222,0,0
43,689,1,0.583333333,0.009722222,0,0
43,696,1,0.583333333,0.009722222,0,0
43,722,1,0.583333333,0.009722222,0,0
44,450,1,0.666666667,0.011111111,0,0
44,455,1,0.666666667,0.011111111,0,0
44,473,1,0.666666667,0.011111111,0,0
44,503,1,0.666666667,0.011111111,0,0
