from,to,demand
1,2,63.802849
1,3,471.81948
1,7,918.4884991
1,21,28.772957
1,22,31.681824
1,29,29.681628
1,30,8.606275
1,31,8.606275
1,32,8.606275
1,33,8.606275
1,36,11.722161
1,37,20.428002
1,38,20.428002
1,39,20.428002
1,40,20.428002
1,42,23.394305
1,48,14.575279
1,49,8.505481
1,50,9.077854
1,51,9.077854
1,52,4.484028
1,53,4.452338
1,54,1.875118
1,59,2.02354
1,60,2.02354
1,61,1.880171
1,62,1.93676
1,63,1.93676
1,64,1.93676
1,65,1.93676
1,66,1.93676
1,67,1.948398
1,69,1.965538
2,1,44.610847
2,3,118.65221
2,6,381.411877
2,10,167.195351
2,13,104.283571
2,14,104.283571
2,16,90.951624
2,17,90.951624
2,18,90.951624
3,1,67.639683
3,2,72.07049
3,12,134.776233
6,1,56.93599701
6,2,320.643351
6,3,329.230351
6,10,957.700233
6,13,136.941407
6,14,136.941407
6,16,181.417875
6,17,181.417875
6,18,181.417875
6,21,54.322955
6,22,64.777032
6,29,60.697739
6,37,30.94704
6,38,30.94704
6,39,30.94704
6,40,30.94704
6,42,32.851189
6,48,20.758405
6,49,10.05071
6,50,11.007453
6,51,11.007453
6,52,4.830574
6,53,4.854254
7,1,724.768919
10,1,4.448323
10,2,465.677208
10,3,4.605681
10,6,190.63577
10,13,4.525612
10,14,4.525612
10,22,21.565511
10,29,20.731984
10,37,15.86574
10,38,15.86574
10,39,15.86574
10,40,15.86574
10,42,17.17806
10,48,12.195396
10,49,7.651356
10,50,8.154251
10,51,8.154251
10,52,4.284714
10,53,4.26372
12,1,35.255907
12,3,123.040888
12,55,146.285293
12,56,146.285293
13,3,86.78809
13,20,29.539054
13,21,46.76841
13,22,51.40093601
13,29,54.525265
13,30,10.879468
13,31,10.879468
13,32,10.879468
13,33,10.879468
13,37,30.048272
13,38,30.048272
13,39,30.048272
13,40,30.048272
13,42,32.076354
13,48,18.612489
13,49,9.839607
13,50,10.662938
13,51,10.662938
13,52,4.778146
13,53,4.783582
13,54,1.950833
13,59,2.034743
13,60,2.034743
13,61,2.019167
13,62,2.007117
13,63,2.007117
13,64,2.007117
13,65,2.007117
13,66,2.007117
13,67,2.01248
13,69,9.568677
14,3,86.78809
14,20,29.539054
14,21,46.76841
14,22,51.40093601
14,29,54.525265
