from,to,demand
1,2,3300
1,3,1500.000001
1,4,900
1,5,600
1,6,300
1,8,300
1,9,600
1,10,300
1,16,300
1,19,300
1,21,300
1,22,300
1,25,300
1,26,900
1,29,300
1,34,1500.000001
1,37,300
1,40,300
1,41,900
1,42,300
1,43,300
1,45,300
1,48,300
1,49,300
1,50,600
1,51,300
1,53,300
1,65,600
1,66,2100
1,67,1500.000001
1,68,300
1,69,600
1,70,1200
1,71,300
1,72,1800
1,74,1200
1,75,300
1,76,600
1,83,300
1,86,300
1,90,300
1,158,1800
1,159,900
1,162,300
1,165,300
1,167,4800
1,168,2100
1,169,6900
1,170,1500.000001
1,172,300
1,173,900
1,174,1500.000001
1,175,1200
1,176,600
1,178,900
1,180,7200
1,181,1800
1,183,300
1,184,300
1,185,16200
1,190,300
1,191,2100
1,192,1500.000001
1,193,33900
1,194,14400
1,195,33300
1,196,44100
1,197,14400
1,198,13200
1,199,6600
1,200,2700
1,201,36000
1,202,900
1,203,39600
1,204,12000
1,205,2100
1,206,13500
1,207,18300
1,208,600
1,209,1200
1,210,5100
1,211,1500.000001
1,212,900
1,213,1800
1,214,1200
1,215,300
1,216,1500.000001
1,217,2400
1,218,3300
1,220,56400
1,221,600
1,223,300
1,224,6900
1,225,300
1,226,300
1,227,300
1,229,1800
1,230,600
1,231,4800
1,232,900
1,233,3000
1,234,300
1,235,900
1,237,1500.000001
1,238,4800
1,239,1200
1,240,2400
1,241,300
1,242,300
1,243,300
1,244,3600
1,245,600
2,1,2700
2,3,1800
2,4,600
2,5,600
2,8,300
2,9,300
2,10,600
2,16,300
2,19,300
2,20,300
2,25,300
2,26,900
2,28,300
2,31,300
2,34,900
2,35,300
2,40,300
2,41,900
2,45,900
2,48,300
2,49,600
2,50,600
2,51,300
2,65,300
2,66,900
2,67,600
2,69,600
2,70,600
2,71,300
2,72,1200
2,74,300
2,75,300
2,80,300
2,86,300
2,156,300
2,158,1200
2,159,900
2,165,900
2,167,2400
2,169,3900
2,173,2100
2,174,1800
2,175,900
2,176,600
2,178,600
2,180,2400
2,181,300
2,184,1200
2,185,10200
2,191,2100
2,192,1200
2,193,19200
2,194,8400
2,195,22200
2,196,26700
2,197,10200
2,198,8100
2,199,4200
2,200,1500.000001
2,201,21600
2,202,600
2,203,22800
2,204,9300
2,205,600
2,206,12000
2,207,14400
2,208,600
2,209,1200
2,210,4200
2,211,1500.000001
2,212,900
2,213,1200
2,214,1200
2,215,600
2,216,600
2,217,1800
2,218,1800
2,220,47400
2,224,5700
2,226,300
2,228,300
2,229,900
2,230,600
2,231,3600
2,232,600
2,233,2400
2,234,600
2,235,600
2,237,1500.000001
2,238,1800
2,239,300
2,240,1200
2,244,2100
2,245,300
3,1,1800
3,2,1200
3,4,3000
3,5,600
3,7,600
3,8,300
3,10,300
3,15,300
3,18,300
3,19,300
3,22,300
3,25,600
3,26,900
3,27,600
3,29,300
3,34,900
3,40,300
3,41,900
3,42,300
3,45,600
3,46,300
3,50,300
3,65,300
3,66,600
3,67,300
3,70,600
3,71,300
3,72,1200
3,74,900
3,78,300
3,80,300
3,84,300
3,90,600
3,158,1500.000001
3,159,300
3,167,600
3,168,600
3,169,2100
3,170,1200
3,174,300
3,175,600
3,176,900
3,178,300
3,180,2700
3,181,600
3,184,600
3,185,7200
3,190,900
3,191,1200
3,192,1500.000001
3,193,14100
3,194,6600
3,195,24000
3,196,25500
3,197,11700
3,198,8700
3,199,3300
3,200,1800
3,201,12900
3,202,300
3,203,11400
3,204,9300
3,205,1500.000001
3,206,13200
3,207,14700
3,208,300
3,209,900
3,210,5100
3,211,2100
3,212,600
3,213,1200
3,214,600
3,215,300
3,216,900
3,217,1500.000001
3,218,2400
3,220,29700
3,221,300
3,222,300
3,224,4200
3,226,300
3,228,300
3,229,900
3,230,900
3,231,4500.000001
3,232,900
3,233,2400
3,234,300
3,235,900
3,237,1800
3,238,1800
3,239,300
3,240,600
3,241,300
