from,to,capacity,length,fft,alpha,beta
1,6595,999999,21.784,0.220040404,1,3
2,5983,999999,2.579,0.026050505,1,3
3,6196,999999,11.426,0.115414141,1,3
3,6236,999999,6.142,0.062040404,1,3
4,5352,999999,8.233,0.083161616,1,3
4,6066,999999,19.021,0.192131313,1,3
5,6147,999999,13.044,0.131757576,1,3
6,6223,999999,6.054,0.061151515,1,3
7,6331,999999,9.339,0.094333333,1,3
8,6400,999999,56.952,0.575272727,1,3
9,6638,999999,22.948,0.23179798,1,3
10,6577,999999,3.942,0.039818182,1,3
11,6605,999999,8.265,0.083484848,1,3
12,6076,999999,3.669,0.037060606,1,3
13,5332,999999,2.495,0.02520202,1,3
14,5883,999999,7.766,0.078444444,1,3
15,1468,999999,6.539,0.066050505,1,3
15,1541,999999,70.255,0.709646465,1,3
16,1265,999999,3.936,0.039757576,1,3
17,1509,999999,10.352,0.104565657,1,3
17,1845,999999,21.044,0.212565657,1,3
18,1855,999999,0.816,0.008242424,1,3
19,914,999999,201.948,2.039878788,1,3
20,6080,999999,3.56,0.035959596,1,3
21,6627,999999,6.679,0.067464646,1,3
22,6314,999999,8.781,0.08869697,1,3
23,6124,999999,2.038,0.020585859,1,3
24,955,999999,27.655,0.279343434,1,3
25,2220,999999,4.294,0.043373737,1,3
26,2419,999999,1.046,0.010565657,1,3
27,1315,999999,2.385,0.024090909,1,3
28,1103,999999,4.171,0.042131313,1,3
29,918,999999,7.017,0.070878788,1,3
30,1109,999999,6.562,0.066282828,1,3
31,1023,999999,13.29,0.134242424,1,3
32,1118,999999,4.931,0.049808081,1,3
33,911,999999,5.705,0.057626263,1,3
34,1061,999999,13.902,0.140424242,1,3
35,6825,999999,0.324,0.003272727,1,3
36,14458,999999,0.190001738,0.001919209,1,3
37,3985,999999,0.238318341,0.002407256,1,3
37,7034,999999,0.140007576,0.001414218,1,3
38,6895,999999,0.216,0.002181818,1,3
39,6872,999999,0.238,0.00240404,1,3
40,4016,999999,0.54834949,0.005538884,1,3
40,14459,999999,0.249997459,0.002525227,1,3
41,4115,999999,0.624,0.00630303,1,3
41,7030,999999,0.683,0.00689899,1,3
42,4071,999999,0.111,0.001121212,1,3
42,14457,999999,0.213605228,0.002157629,1,3
43,4162,999999,0.452,0.004565657,1,3
44,7529,999999,0.475,0.00479798,1,3
44,14469,999999,0.595617173,0.006016335,1,3
45,6854,999999,0.043,0.000434343,1,3
46,3885,999999,0.254,0.002565657,1,3
47,8686,999999,0.50199714,0.005070678,1,3
48,3671,999999,0.187,0.001888889,1,3
49,3537,999999,0.213,0.002151515,1,3
50,3710,999999,0.265,0.002676768,1,3
51,3971,999999,0.049,0.000494949,1,3
52,4049,999999,0.63182686,0.006382089,1,3
52,4102,999999,0.353431682,0.003570017,1,3
53,4151,999999,0.027,0.000272727,1,3
54,4166,999999,0.496,0.005010101,1,3
55,3993,999999,0.241,0.002434343,1,3
55,4059,999999,0.483900085,0.00488788,1,3
56,4164,999999,0.278393792,0.002812059,1,3
57,4064,999999,0.233,0.002353535,1,3
58,4267,999999,0.085,0.000858586,1,3
59,3912,999999,0.472,0.004767677,1,3
60,3887,999999,0.051,0.000515152,1,3
61,3747,999999,1.080259152,0.010911709,1,3
61,3857,999999,0.042,0.000424242,1,3
61,6945,999999,1.089913172,0.011009224,1,3
62,3791,999999,0.201,0.002030303,1,3
63,8252,999999,0.064,0.000646465,1,3
