NODEID,LONG,LAT
1,-117.828346,33.566071
2,-117.784485,33.542606
3,-117.726494,33.486965
4,-117.697227,33.467251
5,-117.7108,33.526363
6,-117.607126,33.419876
7,-117.60405,33.418148
8,-117.606554,33.421518
9,-117.602189,33.414768
10,-117.592857,33.396843
11,-117.682449,33.464081
12,-117.68103,33.463669
13,-117.680939,33.464142
14,-117.678329,33.462841
15,-117.678612,33.463867
16,-117.672051,33.463885
17,-117.668983,33.466988
18,-117.672737,33.469456
19,-117.630508,33.432854
20,-117.663809,33.463978
21,-117.624661,33.440779
22,-117.663267,33.488451
23,-117.691139,33.543022
24,-117.679744,33.557256
25,-117.673257,33.547713
26,-117.674063,33.542754
27,-117.669858,33.547489
28,-117.67218,33.55917
29,-117.661201,33.491352
30,-117.659192,33.494002
31,-117.657941,33.492828
32,-117.65771,33.498212
33,-117.657669,33.502308
34,-117.661743,33.501804
35,-117.660621,33.50173
36,-117.6587,33.505924
37,-117.654658,33.503417
38,-117.626556,33.513496
39,-117.630234,33.515972
40,-117.623296,33.43725
41,-117.62178,33.439106
42,-117.618208,33.436768
43,-117.619275,33.439938
44,-117.60672,33.4529
45,-117.609291,33.483616
46,-117.589684,33.459129
47,-117.578651,33.45734
48,-117.579819,33.468723
49,-117.570183,33.4566
50,-117.581215,33.48344
51,-117.580353,33.513481
52,-117.619431,33.517883
53,-117.619423,33.519459
54,-117.595428,33.517487
55,-117.1864,33.552074
56,-117.17778,33.546219
57,-117.179396,33.55386
58,-117.139801,33.432598
59,-117.135368,33.460224
60,-117.138333,33.476557
61,-117.139526,33.480938
62,-117.135878,33.479052
63,-117.141017,33.484428
64,-117.100792,33.480068
65,-117.159842,33.518875
66,-117.162156,33.522508
67,-117.164242,33.525807
68,-117.174155,33.540524
69,-117.159468,33.5245
70,-117.139633,33.551392
71,-117.077171,33.486378
72,-117.073547,33.487309
73,-116.913864,33.46413
74,-116.860161,33.441551
75,-116.835777,33.426781
76,-116.590553,33.569481
77,-116.105087,32.644165
78,-116.102919,32.647662
79,-116.10243,32.647404
80,-116.104912,32.66288
81,-116.104843,32.671856
82,-116.104843,32.677776
83,-116.104828,32.676437
84,-116.030319,32.725636
85,-116.026039,32.726292
86,-116.020828,32.727089
87,-116.016296,32.726559
88,-116.016931,32.728306
89,-115.997251,32.733138
90,-115.993202,32.734001
91,-115.990151,32.735624
92,-115.98968,32.734719
93,-116.080193,33.132023
94,-116.180443,33.570099
95,-116.112007,33.49165
96,-115.854424,33.125751
97,-116.058693,33.425949
98,-116.09462,33.460842
99,-116.111763,33.569328
100,-116.094437,33.569389
101,-116.06311,33.555107
102,-115.83078,33.427021
103,-115.695493,32.773625
104,-115.689713,32.790859
105,-115.52359,32.679123
106,-115.689949,32.773609
107,-115.68957,32.776418
108,-115.684608,32.773553
109,-115.59446,32.773365
