from,to,demand
1,2,2207.2
1,3,10600
1,4,53000
1,5,2.16
1,6,0.32
1,7,6848
1,8,7100
1,9,335280
1,10,1276
1,11,997.6
1,12,0.24
1,13,0.4
1,14,1276.4
1,15,0.52
1,17,0.4
1,18,0.04
1,21,280.32
1,22,944.8
1,24,6464
1,25,912.8
1,26,7092
1,27,33792
1,28,1080.4
1,29,33064
1,30,22612
1,31,40.48
1,32,3338.4
1,33,3630
1,34,163360
1,35,70000
1,36,1.28
1,37,9704
1,38,44.8
1,39,255.48
1,41,19.84000001
1,42,168.12
1,43,24172
1,44,35.68
1,45,0.12
1,47,671.2000001
1,49,0.72
1,50,0.32
1,51,471.2000001
1,54,0.48
1,55,56.4
2,1,2807.2
2,3,17728
2,4,28480
2,5,3.16
2,6,2.68
2,7,9100
2,8,17408
2,9,49960
2,10,2745.2
2,11,0.04
2,13,26.32
2,14,38584
2,15,3.6
2,16,2.36
2,17,76.12
2,18,24.08000001
2,19,27.6
2,20,16.84
2,21,0.32
2,22,16.76
2,24,11108
2,25,563.2
2,26,4312
2,27,645.2
2,28,703.2
2,29,6464
2,30,3451.200001
2,31,2189.2
2,32,2662
2,33,1719.2
2,34,480.8
2,35,99280
2,36,0.52
2,37,5412
2,38,0.04
2,39,0.4
2,41,1.16
2,43,0.08
2,45,15.36
2,46,947.6
2,47,3.64
2,48,0.04
2,49,0.16
2,50,0.04
2,51,389.76
2,54,0.12
2,55,2589.6
3,1,8748
3,2,23744
3,4,227.32
3,5,24748
3,6,1743.6
3,7,2686.4
3,8,167320
3,9,13372
3,10,1205.6
3,11,2.6
3,12,1519.2
3,13,1.88
3,14,4288
3,15,10.4
3,16,0.92
3,17,172.48
3,18,78.64
3,19,14.2
3,20,1.4
3,22,0.8
3,25,0.04
3,26,0.8
3,27,0.2
3,28,0.04
3,30,227.92
3,31,1564.8
3,32,55.32
3,33,0.52
3,34,7504
3,35,26916
3,36,36.52
3,37,0.08
3,38,17.24
3,39,11604
3,40,0.4
3,41,13124
3,42,1
3,43,1.52
3,44,1366.8
3,45,16.92
3,46,3.92
3,47,142
3,48,0.04
3,49,3031.2
3,50,1226
3,55,1.08
4,1,39284
4,2,37752
4,3,168.96
4,5,26.96
4,6,416.8
4,7,84.2
4,8,182.36
4,9,35.36
4,10,7.72
4,12,0.24
4,13,1.24
4,14,617.2
4,15,0.04
4,16,0.76
4,18,0.04
4,20,0.08
4,21,4888
4,22,729.2
4,23,48.04
4,24,1852.8
4,25,7584
4,26,6.92
4,27,48480
4,28,23.04
4,29,26408
4,30,4.68
4,31,3.24
4,32,69.12
4,33,74.2
4,34,6316
4,35,45240
4,36,0.68
4,37,5076
4,38,0.08
4,39,1.08
4,41,1
4,45,69.16
4,46,0.48
4,47,496640
4,49,0.04
4,50,0.32
4,51,53.8
4,52,1.76
4,53,0.28
4,54,479.2
4,55,1.64
5,1,1.64
5,2,2.6
5,3,18372
5,4,24.96
5,6,39528
5,7,13900
5,8,11584
5,9,88.48
5,10,25.48
5,11,0.08
5,12,0.16
5,13,7452
5,14,430
5,15,12.16
5,16,0.08
5,17,0.32
5,19,0.28
5,21,85120
5,22,0.96
5,23,9
5,24,2.16
5,25,1.88
5,26,10552
5,27,1890.4
5,29,0.04
5,30,0.36
5,32,181080
5,33,0.52
5,34,13300
5,35,141.32
5,36,0.08
5,38,0.12
5,39,5.4
5,41,343.04
5,44,0.04
5,45,5.16
5,47,4
5,49,0.16
6,1,0.24
6,2,3.36
6,3,1482
6,4,330.12
6,5,29328
6,7,239080
6,8,90.12
6,9,245320
6,10,2.28
6,11,0.04
6,12,223960
6,13,528.8
6,14,372.6000001
6,15,1.04
6,16,6.52
6,17,2.76
6,18,14.6
6,19,1.08
6,20,2.28
6,21,1.96
6,22,6.56
6,24,578.4
6,25,5304
6,26,38116
6,27,51.72
6,30,0.24
6,31,2.48
6,32,1884
6,33,2876
6,34,173720
6,35,35.36
6,39,0.04
6,41,1166.4
6,42,58.56
6,43,2732.4
6,44,1268
6,45,884
6,46,142.84
6,47,68.84
6,50,0.08
7,1,5136.000001
7,2,10804
7,3,2337.6
7,4,91.08
7,5,18800
7,6,177720
7,8,275120
7,9,5872
7,10,5076
7,11,28.28
7,12,81480
7,13,22.44
7,14,172.24
7,15,3.36
7,16,452.4
7,17,6284
7,18,253.12
7,19,896.4
7,20,8.2
7,21,0.04
7,25,178.72
7,26,27.28
7,27,2388.8
7,28,12.92
7,29,2.16
7,30,955.6
7,31,8420
7,32,59.52
7,33,4648
7,34,7000
7,35,89.44
7,36,23.24
7,37,24.56
7,38,25.48
7,39,18.24
7,40,1552
7,41,1599.2
7,42,0.04
7,43,0.32
7,44,86840
7,45,119.28
7,46,34.44
7,47,0.96
7,48,0.72
7,49,1.52
7,50,22.16
7,51,6.8
7,55,1.68
8,1,5752
8,2,22368
8,3,128800
8,4,232.44
8,5,8800
8,6,76.28
8,7,203960
8,9,85.96
8,10,106
8,11,74.4
8,12,47.4
8,13,1972.8
8,14,19712
8,15,2206.4
8,16,6.12
8,17,2987.2
8,18,25708
8,19,1984.4
8,20,48.44
8,21,89.44
8,22,410.8
8,25,545.6
8,26,8808
8,27,238.68
8,28,8.8
8,29,1.48
8,30,8348.000001
8,31,3193.200001
8,32,479.2
8,33,1035.2
8,34,34584
8,35,9200
