from,to,capacity,length,fft,alpha,beta
1,304,1.50E+06,0.33,0.0125,0.1,1.5
1,425,1.50E+06,0.32,0.0125,0.1,1.5
1,513,1.50E+06,0.11,0.0125,0.1,1.5
1,536,1.50E+06,0.39,0.0125,0.1,1.5
1,566,1.50E+06,0.2,0.0125,0.1,1.5
2,732,1.50E+06,0.25,0.0125,0.1,1.5
2,759,1.50E+06,0.19,0.0125,0.1,1.5
3,831,1.50E+06,0.16,0.0125,0.1,1.5
3,906,1.50E+06,0.24,0.0125,0.1,1.5
3,950,1.50E+06,0.34,0.0125,0.1,1.5
4,486,1.50E+06,0.36,0.0125,0.1,1.5
4,622,1.50E+06,0.1,0.0125,0.1,1.5
4,636,1.50E+06,0.12,0.0125,0.1,1.5
4,704,1.50E+06,0.36,0.0125,0.1,1.5
5,600,1.50E+06,0.14,0.0125,0.1,1.5
5,644,1.50E+06,0.19,0.0125,0.1,1.5
6,682,1.50E+06,0.2,0.0125,0.1,1.5
6,769,1.50E+06,0.1,0.0125,0.1,1.5
7,995,1.50E+06,0.1,0.0125,0.1,1.5
7,1055,1.50E+06,0.18,0.0125,0.1,1.5
7,1065,1.50E+06,0.37,0.0125,0.1,1.5
7,1099,1.50E+06,0.25,0.0125,0.1,1.5
8,986,1.50E+06,0.24,0.0125,0.1,1.5
8,1054,1.50E+06,0.09,0.0125,0.1,1.5
8,1100,1.50E+06,0.24,0.0125,0.1,1.5
8,1133,1.50E+06,0.23,0.0125,0.1,1.5
9,1240,1.50E+06,0.11,0.0125,0.1,1.5
9,1241,1.50E+06,0.07,0.0125,0.1,1.5
9,1310,1.50E+06,0.23,0.0125,0.1,1.5
10,1156,1.50E+06,0.3,0.0125,0.1,1.5
10,1184,1.50E+06,0.34,0.0125,0.1,1.5
10,1197,1.50E+06,0.18,0.0125,0.1,1.5
10,1207,1.50E+06,0.11,0.0125,0.1,1.5
10,1239,1.50E+06,0.48,0.0125,0.1,1.5
10,1254,1.50E+06,0.12,0.0125,0.1,1.5
10,1327,1.50E+06,0.57,0.0125,0.1,1.5
11,1326,1.50E+06,1.45,0.0125,0.1,1.5
11,1343,1.50E+06,1.46,0.0125,0.1,1.5
11,1579,1.50E+06,0.76,0.0125,0.1,1.5
12,635,1.50E+06,0.08,0.0125,0.1,1.5
12,655,1.50E+06,0.09,0.0125,0.1,1.5
12,719,1.50E+06,0.22,0.0125,0.1,1.5
