from,to,capacity,length,fft,alpha,beta
1,854,1,0.780000019,0.013,0,0
1,870,1,1.380000019,0.023,0,0
2,893,1,0.420000029,0.007,0,0
2,934,1,1.320000076,0.022000001,0,0
2,938,1,0.420000029,0.007,0,0
3,909,1,0.6,0.01,0,0
3,911,1,2.040000153,0.034000003,0,0
3,923,1,1.320000076,0.022000001,0,0
3,929,1,1.500000095,0.025000002,0,0
4,902,1,1.680000114,0.028000002,0,0
4,917,1,0.54000001,0.009,0,0
4,919,1,0.9,0.015,0,0
4,920,1,0.6,0.01,0,0
4,932,1,1.080000019,0.018,0,0
5,1009,1,0.6,0.01,0,0
5,1010,1,2.280000114,0.038000002,0,0
5,1029,1,0.840000057,0.014000001,0,0
6,992,1,0.420000029,0.007,0,0
6,1008,1,1.620000076,0.027000001,0,0
6,1018,1,0.660000038,0.011000001,0,0
7,970,1,0.960000038,0.016000001,0,0
7,971,1,0.780000019,0.013,0,0
7,972,1,0.720000029,0.012,0,0
7,973,1,0.9,0.015,0,0
7,974,1,1.080000019,0.018,0,0
8,996,1,0.54000001,0.009,0,0
8,1012,1,0.780000019,0.013,0,0
9,840,1,0.360000014,0.006,0,0
10,535,1,1.040000025,0.017333334,0,0
10,839,1,1.520000076,0.025333335,0,0
11,166,1,1.560000102,0.026000002,0,0
11,200,1,1.560000102,0.026000002,0,0
12,167,1,1.880000051,0.031333334,0,0
12,199,1,1.2,0.02,0,0
13,170,1,0.840000025,0.014,0,0
14,169,1,2.280000051,0.038000001,0,0
14,191,1,2.280000051,0.038000001,0,0
14,197,1,1.120000076,0.018666668,0,0
15,171,1,0.680000051,0.011333334,0,0
15,189,1,0.24000001,0.004,0,0
16,195,1,1.880000051,0.031333334,0,0
16,224,1,1.320000076,0.022000001,0,0
17,173,1,2.440000153,0.040666669,0,0
17,187,1,2.440000153,0.040666669,0,0
18,174,1,1.680000051,0.028000001,0,0
18,186,1,2.440000153,0.040666669,0,0
19,190,1,1.880000051,0.031333334,0,0
19,220,1,1.280000051,0.021333334,0,0
20,177,1,2.160000102,0.036000002,0,0
20,183,1,2.520000203,0.042000003,0,0
21,182,1,0.760000038,0.012666667,0,0
21,213,1,3.760000102,0.062666668,0,0
22,262,1,0.680000051,0.011333334,0,0
23,278,1,0.560000038,0.009333334,0,0
24,266,1,1.120000076,0.018666668,0,0
24,277,1,1.120000076,0.018666668,0,0
25,212,1,0.8,0.013333333,0,0
25,354,1,2.640000153,0.044000003,0,0
26,260,1,0.520000013,0.008666667,0,0
27,285,1,1.120000076,0.018666668,0,0
28,225,1,1.480000051,0.024666668,0,0
28,238,1,1.880000051,0.031333334,0,0
29,230,1,0.520000013,0.008666667,0,0
30,240,1,1.040000025,0.017333334,0,0
30,245,1,3.920000203,0.065333337,0,0
31,237,1,3.800000254,0.063333338,0,0
31,239,1,1.640000025,0.027333334,0,0
32,243,1,0.520000013,0.008666667,0,0
33,273,1,1.120000076,0.018666668,0,0
33,274,1,1.120000076,0.018666668,0,0
33,294,1,0.960000038,0.016000001,0,0
33,295,1,1.2,0.02,0,0
34,272,1,0.840000025,0.014,0,0
35,293,1,0.560000038,0.009333334,0,0
